VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 6:21,7/1/2021 6:30,N,1,74,75,1,1.75,8,0,0.5,1.76,0,,0.3,10.56,1,1,0
2,7/1/2021 6:55,7/1/2021 7:00,N,1,42,75,1,1.6,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
1,7/1/2021 6:40,7/1/2021 6:57,N,1,41,230,1,4,15,2.75,0.5,2,0,,0.3,20.55,1,1,2.75
2,7/1/2021 6:17,7/1/2021 6:29,N,1,74,116,1,2.46,10.5,0,0.5,0,0,,0.3,11.3,2,1,0
1,7/1/2021 6:00,7/1/2021 6:47,N,1,210,137,1,0,45.2,0,0.5,0,6.55,,0.3,52.55,1,1,0
2,7/1/2021 7:07,7/1/2021 7:27,N,1,52,138,6,11.79,32.5,0,0.5,6.66,0,,0.3,39.96,1,1,0
2,7/1/2021 6:30,7/1/2021 6:40,N,1,74,75,1,1.7,8.5,0,0.5,0,0,,0.3,9.3,1,1,0
2,7/1/2021 6:43,7/1/2021 6:49,N,1,74,75,1,1.33,6.5,0,0.5,0,0,,0.3,7.3,1,1,0
2,7/1/2021 7:06,7/1/2021 7:14,N,1,226,226,1,1.59,8,0,0.5,0,0,,0.3,8.8,1,1,0
2,7/1/2021 7:11,7/1/2021 7:17,N,1,74,42,1,0.91,6,0,0.5,1.36,0,,0.3,8.16,1,1,0
2,7/1/2021 7:32,7/1/2021 7:45,N,1,74,140,1,3.68,13.5,0,0.5,4.26,0,,0.3,21.31,1,1,2.75
2,7/1/2021 7:50,7/1/2021 7:59,N,1,75,42,1,2.15,9.5,0,0.5,0,0,,0.3,10.3,1,1,0
2,7/1/2021 6:17,7/1/2021 6:51,N,1,28,136,1,17.8,50,0,0.5,0,6.55,,0.3,57.35,1,1,0
